交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價,
1060525,2541,青筆,台中,362,340.5,314,42,341.5,
1060525,2541,青筆,新竹,255.8,75.5,20,18.1,100.4,
1060525,2781,鮭魚,新竹,200,0,0,270,200,
1060525,3079,紅魽(凍),埔心,0,80,0,12,80,
1060525,3113,黃鰭鮪(凍),高雄,100,100,90.6,15259,98.1,
1060525,3119,其他鮪魚(凍),苗栗,50,49,48,76,49.5,
1060525,3134,白皮旗(凍),高雄,85,73.2,60,568,72.9,
1060525,3145,石喬(凍),台北,0,40,0,275,40,
1060525,3521,秋刀(凍),佳里,50,45,0,60,47.5,
1060525,3641,鱈魚(凍),佳里,368,365,0,20,365.8,
1060525,4522,市仔管,斗南,80,80,80,28,80,
1060525,6021,鹹魚,新營,68.1,23.8,22,112,32.3,
1060525,6031,魚丸,苗栗,0,0,45,100,45,
1060525,6031,魚丸,桃園,0,70,0,90,70,
1060525,6049,其他加工,苗栗,185,98,11,334.3,92.5,
1060525,6110,魚肚,彰化,146,145,144,56.9,145,
1060525,9999,其他,新營,200.7,200.7,200.7,290.3,200.7,
1060525,1011,吳郭魚,三重,55.2,50.2,49.3,2512,51,
1060525,1012,尼羅紅魚,台中,100,78.5,68,284,89.8,
1060525,1019,其他吳郭,彰化,120,74,10,659.1,74.4,
1060525,1027,烏鰡,嘉義,121,121,121,21.5,121,
1060525,1061,豆仔,台中,118,78.5,69,96,83.9,
1060525,1072,加州鱸,三重,140,116.9,103.9,48,118.9,
1060525,1072,加州鱸,斗南,134.9,127.7,122,132,128,
1060525,1072,加州鱸,台北,102,86.8,83,153,89.1,
1060525,1072,加州鱸,桃園,140,103.6,0,72,106.7,
1060525,1074,銀花鱸,埔心,154.3,146,127,322,144,
1060525,1074,銀花鱸,桃園,135.5,130,0,54,133.4,
1060525,1102,泥鰍,斗南,185,185,185,30,185,
1060525,1111,鯰魚,桃園,130,120,0,33.6,123.7,
1060525,1141,田蛙,桃園,80,55,0,60,63.3,
1060525,1163,黑鯛(養殖),佳里,170,148,0,12,159,
1060525,1163,黑鯛(養殖),桃園,170,118.6,80,72,117.5,
1060525,1165,黃鍚鯛,新竹,224.9,221,220,18.3,221,
1060525,1165,黃鍚鯛,彰化,0,263,0,42,263,
1060525,1166,海鱺(養殖),新營,130,130,130,20.5,130,
1060525,1171,青石斑,斗南,210.9,155.4,79.1,206.3,151.3,
1060525,1172,淡水珍珠石斑,台北,152.7,98.6,84.6,369.4,106.6,
1060525,1172,淡水珍珠石斑,埔心,169,145.4,114.7,177,142.5,
1060525,1181,黃臘鰺(紅杉),台北,218.5,182.1,147,211.2,182.4,
1060525,1181,黃臘鰺(紅杉),新竹,213.4,203.4,177.1,145.6,200.2,
1060525,1272,午仔魚(養殖),台北,299.5,219.2,128.2,656.5,217.1,
1060525,1999,其他養殖,新竹,0,50,0,10,50,
1060525,2011,加臘(沿海),台北,380,359.9,330,10.2,357.9,
1060525,2013,盤仔,台中,304,136.8,26.8,404,72.2,
1060525,2015,黑鯛(沿海),埔心,351,221,175,6.5,228.5,
1060525,2042,紅魚(沿海),桃園,269.7,251.9,240,77.4,254,
1060525,2064,白口,台北,164.6,143.3,60,46,130.9,
1060525,2071,四破,台中,61,24.1,23,239,31,
1060525,2074,巴闌,斗南,32,30.2,23,90,29.1,
1060525,2074,巴闌,桃園,48.1,37.3,25.4,350,37.9,
1060525,2075,紅尾,台北,62.6,45.7,35,1022.8,47,
1060525,2075,紅尾,苗栗,40,37.5,35,80,35.6,
1060525,2079,紅魽,桃園,180,123.6,62,207.3,131.4,
1060525,2079,紅魽,嘉義,148,127.7,56,279.9,117.4,
1060525,2082,紅古,桃園,92,88,0,90,90.7,
1060525,2091,白鯧,台中,1322.7,1103.9,473.7,134,593.1,
1060525,2091,白鯧,埔心,677.1,574.2,382.9,149.4,528.5,
1060525,2091,白鯧,嘉義,512.3,468.7,343.2,66.2,452.4,
1060525,2092,黑鯧,岡山,100,98.1,90,31.7,96.8,
1060525,2093,銀鯧,桃園,133,130,0,80,131.5,
1060525,2103,鱙仔,台中,0,100,0,125,100,
1060525,2105,丁香,台中,0,149,0,12,149,
1060525,2106,勿仔,彰化,23,23,23,40,23,
1060525,2115,小串仔,埔心,0,66,0,3.9,65.9,
1060525,2119,其他鮪魚,三重,155,121.8,120,26,128.1,
1060525,2141,土魠,斗南,364.9,320,284.3,117.7,321.9,
1060525,2141,土魠,新營,392.1,363.2,334.7,142.3,363.3,
1060525,2141,土魠,彰化,416,352,290,232.3,352,
1060525,2143,白北,台中,0,202.5,0,117,202.5,
1060525,2151,大鯊,台中,0,104.7,0,123,104.7,
1060525,2151,大鯊,苗栗,170,110,50,285.5,110.1,
1060525,2155,角鯊,埔心,136,123.2,119,82.8,125.3,
1060525,2161,魷魚,斗南,96,96,96,30,96,
1060525,2164,透抽,彰化,260,232,190,425.8,232.4,
1060525,2165,軟舌,台中,0,277,0,92,277,
1060525,2166,小卷,台中,0,150,0,140,150,
1060525,2169,章魚,嘉義,56,52,46,237.2,51.6,
1060525,2191,龍尖,台北,170,144.4,100,31,140.6,
1060525,2201,石斑魚,埔心,187,184,142,7.2,177.8,
1060525,2211,狗母,彰化,0,94,0,0.7,94,
1060525,2231,海鯰,新竹,14.5,11.4,10,74.2,11.7,
1060525,2238,海鯽魚,斗南,300,299.3,272.4,13.9,294,
1060525,2261,肉魚,斗南,203.2,95,77.7,353,113.2,
1060525,2301,尖梭,台北,240.2,131.9,104.8,57.9,148.1,
1060525,2341,白帶魚,佳里,160,142,130,72,146.1,
1060525,2341,白帶魚,桃園,300.1,219.9,65.9,280.3,193.4,
1060525,2351,鱝(魴仔),岡山,40,39.5,30,58.5,37.7,
1060525,2351,鱝(魴仔),埔心,175.6,104.8,34,269.3,113.5,
1060525,2401,扁魚,台中,0,300,0,1,300,
1060525,2431,厚唇,新竹,380,236.3,220,4,261.8,
1060525,2461,長加,新竹,295.7,227.7,200,50.3,235.8,
1060525,2481,英哥,新營,75.1,67.4,50,28.9,65.5,
1060525,2491,海鱺(沿海),斗南,73.1,63.8,55.9,66.4,64.1,
1060525,2491,海鱺(沿海),佳里,0,0,80,17.5,80,
1060525,2491,海鱺(沿海),新竹,240,224.2,156.7,32.2,213.9,
1060525,2501,赤筆,台中,0,549.3,0,26,549.3,
1060525,2501,赤筆,台北,372.2,314.4,300,16.2,314.4,
1060525,2511,金龍(沿海),嘉義,220,217.6,213,29.4,217.1,
1060525,2551,沙腸,新竹,130,0,0,2.2,130,
1060525,2551,沙腸,彰化,414,292,205,31.9,292.3,
1060525,2562,什魚,埔心,0,42.5,0,2,52.5,
1060525,2562,什魚,桃園,0,33,20,31.5,27.2,
