從事項目,編號,許可機關,核准日期,核准文號,許可期間,研究作業人員數,進出漁港,目的事業主管機關,備註,核准船數,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,363,花蓮縣政府,105年5月12日,府農漁字第1050090517號,105年5月18日~105年6月30日,9,花蓮縣花蓮、花蓮縣石梯、花蓮縣花蓮、花蓮縣石梯,花蓮縣政府,花蓮縣政府,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,364,行政院農業委員會漁業署,102年11月29日,漁二字第1021229203號,102年11月29日~102年12月31日,0,基隆市長潭里、宜蘭縣梗枋、宜蘭縣大溪、新北市淡水第二,國立台灣大學海洋研究所,國立台灣大學海洋研究所,5,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,365,行政院農業委員會漁業署,102年3月26日,漁二字第1021207790號,102年3月26日~102年7月31日,11,新北市淡水第二,國科會,國科會,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,366,行政院農業委員會漁業署,103年4月23日,漁二字第1031329010號,103年4月23日~103年12月31日,2,南寮漁港,環保局,環保局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,367,行政院農業委員會漁業署,104年3月30日,漁二字第1041253531號,104年3月30日~104年12月31日,15,卯澳漁港、澳底漁港、澎湖縣內垵南、澎湖縣大倉,,,6,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,368,宜蘭縣政府,104年3月16日,漁二字第1040002401,104年4月1日~104年9月30日,8,宜蘭縣南方澳、宜蘭縣烏石、宜蘭縣蘇澳、宜蘭縣南澳,和平電力股份有限公司,和平電力股份有限公司,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,369,行政院農業委員會漁業署,104年4月15日,漁二字第1041207109號,104年4月15日~104年11月30日,16,苗栗縣通霄、苗栗縣龍鳳、苗栗縣外埔,,,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,370,行政院農業委員會漁業署,105年3月2日,漁二字第1051325555號,105年3月2日~105年12月31日,6,基隆市長潭里、基隆市望海巷、新北市深澳、新北市水湳洞,台灣電力股份有限公司,台灣電力股份有限公司,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,371,行政院農業委員會漁業署,103年4月23日,漁二字第1031328812號,103年4月23日~103年12月31日,4,臺東縣石雨傘、臺東縣烏石鼻、臺東縣長濱、臺東縣基翬、花蓮縣石梯、花蓮縣花蓮、臺東縣新港、臺東縣小港,行政院農業委員會水產試驗所,行政院農業委員會水產試驗所,10,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,372,行政院農業委員會漁業署,102年6月11日,漁二字第1021322266,102年6月11日~102年9月30日,14,新北市水尾、新北市磺港、新北市萬里、新北市龜吼、新北市野柳、新北市東澳,新北市政府漁業及漁港事業管理處,新北市政府漁業及漁港事業管理處,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,373,行政院農業委員會漁業署,105年3月9日,漁二字第1051203739號,105年3月22日~105年12月31日,5,新北市澳底、新北市水湳洞、新北市磺港,新北市環境保護局,新北市環境保護局,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,374,行政院農業委員會漁業署,104年5月20日,漁二字第1041327915號,104年5月20日~104年12月31日,12,高雄市港埔、宜蘭縣石城、高雄市中洲、屏東縣後壁湖、新北市萬里、新北市澳底、高雄市前鎮、高雄市蚵子寮、宜蘭縣大里、新北市富基、宜蘭縣南澳、臺中市梧棲、臺南市將軍、屏東縣琉球新、宜蘭縣南方澳、高雄市鼓山、基隆市八斗子、臺南市安平、新北市深澳、高雄市旗津、宜蘭縣梗枋、屏東縣東港鹽埔、屏東縣小琉球、宜蘭縣烏石、高雄市永新、基隆市正濱、屏東縣枋寮、屏東縣海口、高雄市興達、臺中市塭寮、新北市鼻頭、新北市淡水第二、高雄市鳳鼻頭、新北市龍門、臺中市五甲、臺南市四草、新北市野柳、臺南市北門、新北市淡水第一、新北市福隆、高雄市汕尾,行政院,行政院,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,375,行政院農業委員會漁業署,103年3月25日,漁二字第1031328570號,103年3月25日~103年7月31日,11,臺南市安平、臺南市四草,行政院,行政院,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,376,行政院農業委員會漁業署,102年5月3日,漁二字第1020713728號,102年5月3日~102年12月31日,6,新北市澳底、新北市淡水第二漁港、桃園縣永安、連江縣中柱、金門縣后豐泊地、新北市澳底、新北市淡水第二漁港、桃園縣永安、連江縣中柱、金門縣后豐泊地,行政院環保署,行政院環保署,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,377,行政院農業委員會漁業署,104年11月16日,漁二字第1041222190號,104年11月16日~104年12月30日,6,澎湖縣潭門、澎湖縣龍門、澎湖縣大池,台灣自來水股份有限公司第七區管理處,台灣自來水股份有限公司第七區管理處,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,378,行政院農業委員會漁業署,104年3月25日,漁二字第1041205314號,104年3月27日~104年12月15日,12,金門縣新湖漁港、金門縣后豐泊地、,經濟部水利署第八河川局,經濟部水利署第八河川局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,379,行政院農業委員會漁業署,104年1月7日,漁二字第1031223546號,104年1月7日~104年12月31日,9,屏東縣小琉球、臺南市將軍、花蓮縣花蓮、基隆市八斗子、臺東縣伽藍、高雄市彌陀、屏東縣香蕉灣、臺南市安平、宜蘭縣烏石、新北市龍洞、新北市澳底、新竹市新竹、屏東縣後壁湖、彰化縣崙尾灣,,,15,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,380,行政院農業委員會漁業署,105年1月29日,漁二字第1051201477號,105年1月29日~105年12月9日,1,新竹漁港,新竹縣環保局,新竹縣環保局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,381,行政院農業委員會漁業署,103年4月29日,漁二字第1031329070號,103年4月29日~104年3月16日,20,高雄市中芸、高雄市永新、高雄市鳳鼻頭、臺南市安平、高雄市茄萣、高雄市彌陀、高雄市興達、高雄市蚵子寮漁港、白砂崙漁港、崎漏漁港、烏林投泊地、文安泊地、前鎮漁港、鼓山漁港、中洲漁港、旗后漁港、上竹里漁港、小港臨海新村漁港、旗津漁港、柴山泊地、汕尾漁港、港嘴泊地、中門泊地及西溪泊地、蚵子寮漁港、白砂崙漁港、崎漏漁港、烏林投泊地、文安泊地、前鎮漁港、鼓山漁港、中洲漁港、旗后漁港、上竹里漁港、小港臨海新村漁港、旗津漁港、柴山泊地、汕尾漁港、港嘴泊地、中門泊地、西溪柏地,經濟部水利署水利規劃試驗所,經濟部水利署水利規劃試驗所,5,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,382,行政院農業委員會漁業署,104年8月31日,漁二字第1041217428號,104年8月31日~104年12月31日,15,雲林縣台子村、嘉義縣布袋,林務局,林務局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,383,行政院農業委員會漁業署,104年1月14日,漁二字第1041250281號,104年1月14日~104年4月30日,1,新竹漁港,新竹縣環保局,新竹縣環保局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,384,行政院農業委員會漁業署,104年4月7日,漁二字第1041206078號,104年4月7日~104年12月20日,16,高雄市蚵子寮、高雄市小港臨海新村、高雄市中洲、高雄市旗后、高雄市鳳鼻頭、高雄市中芸、高雄市興達、高雄市上竹里、高雄市旗津、高雄市汕尾、高雄市白砂崙、高雄市永新、高雄市鼓山、高雄市彌陀、高雄市前鎮、高雄市港埔,經濟部水利署第六河川局,經濟部水利署第六河川局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,385,行政院農業委員會漁業署,102年6月3日,漁二字第1021215259號,102年6月3日~102年9月21日,13,彰化縣塭仔,國科會,國科會,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,386,行政院農業委員會漁業署,104年3月10日,漁二字第1041203930號,104年3月10日~104年12月15日,15,臺南市青山、臺南市曾文溪、臺南市北堤、臺南市馬沙溝、臺南市將軍,經濟部水利署第六河川局,經濟部水利署第六河川局,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,387,行政院農業委員會漁業署,103年4月23日,漁二字第1031328803號,103年4月23日~103年12月31日,4,花蓮縣石梯、花蓮縣花蓮、臺東縣新港、臺東縣小港、臺東縣石雨傘、臺東縣烏石鼻、臺東縣長濱,行政院農業委員會水產試驗所,行政院農業委員會水產試驗所,12,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,388,行政院農業委員會漁業署,104年4月10日,漁二字第1041254245號,104年4月10日~106年4月9日,12,臺東縣新港、嘉義縣布袋、高雄市興達、臺東縣伽藍、高雄市中芸、高雄市蚵子寮,環保署,環保署,6,

